"word","gloss","language","dialect","form"
"all_adverb"," intensifier"," Korean",""," {{t+|ko|아주}}"
"all_adverb"," apiece"," Korean",""," {{t+|ko|각(各)}}"
"all_adverb"," apiece"," Korean",""," {{t+|ko|각각(各各)}}"
"all_adverb"," so much"," Korean",""," {{t+|ko|만큼}"
"all_adverb"," so much"," Korean",""," {{t+|ko|그만큼}}"
"each_determiner"," every"," Korean",""," {{t|ko|각각-의}}"
"each_determiner"," "," Korean",""," {{t+check|ko|모든}}{{trans-mid}}"
"everybody"," all people"," Korean",""," {{t+|ko|모두}"
"everybody"," all people"," Korean",""," {{t|ko|누구나}"
"everybody"," all people"," Korean",""," {{t+|ko|여러분}}"
"everyone"," every person"," Korean",""," {{t+|ko|모두}"
"everyone"," every person"," Korean",""," {{t|ko|[[누구]][[나]]}"
"everyone"," every person"," Korean",""," {{t+|ko|여러분}"
"everyone"," every person"," Korean",""," {{t|ko|다들}"
"everyone"," every person"," Korean",""," {{t+|ko|각자(各自)}}{{trans-mid}}"
"everything"," all the things"," Korean",""," {{t+|ko|모두}"
"everything"," all the things"," Korean",""," {{t|ko|[[모든]] [[것]]}"
"everything"," all the things"," Korean",""," {{t+|ko|전부}}"
"anything_pronoun"," =any thing of any kind"," Korean",""," {{t|ko|[[아무것]][[-도]]}}"
"whatever_determiner"," for any ... that"," Korean",""," {{t|ko|무엇이든}"
"whatever_determiner"," for any ... that"," Korean",""," {{t|ko|도대체 무엇이}"
"whatever_determiner"," for any ... that"," Korean",""," {{t|ko|것은 무엇이든지}}{{trans-mid}}"
"anywhere"," in or at any location"," Korean",""," {{t|ko|어디에도}}"
"everywhere"," at all places"," Korean",""," {{t|ko|어디에나}}"
"and"," used to connect two similar words` phrases` et cetera"," Kurdish"," Central Kurdish"," {{t+|ckb|وە}"
"and"," used to connect two similar words` phrases` et cetera"," Kurdish"," Central Kurdish"," {{t+|ckb|و}}"
"every"," all of a countable group"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمو}}"
"all_determiner"," every individual of the given class"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمو}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمو}}{{trans-mid}}"
"all_adverb"," intensifier"," Kurdish"," Central Kurdish"," {{t+|ckb|ھەموو|sc=ku-Arab}}"
"each_determiner"," every"," Kurdish"," Central Kurdish"," {{t|ckb|ھەریەک}}"
"everybody"," all people"," Kurdish"," Central Kurdish"," {{t|ckb|ھەموکەس|sc=ku-Arab}"
"everybody"," all people"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمولا|sc=ku-Arab}}"
"everyone"," every person"," Kurdish"," Central Kurdish"," {{t|ckb|ھەریەکە}"
"everyone"," every person"," Kurdish"," Central Kurdish"," {{t|ckb|ھەموکەس}}"
"anybody"," (''colloquial'') a person of consideration or standing"," Kurdish"," Central Kurdish"," {{t+|ckb|کەس}}{{trans-mid}}"
"everything"," all the things"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمو شتێک}}"
"anything_pronoun"," =any thing of any kind"," Kurdish"," Central Kurdish"," {{t+|ckb|ھیچ}}"
"whatever_determiner"," for any ... that"," Kurdish"," Central Kurdish"," {{t+|ckb|ھەرچی}}"
"anywhere"," in or at any location"," Kurdish"," Central Kurdish"," {{t|ckb|ھەرچی شوێن}"
"anywhere"," in or at any location"," Kurdish"," Central Kurdish"," {{t|ckb|ھەرشوێن}}{{trans-mid}}"
"everywhere"," at all places"," Kurdish"," Central Kurdish"," {{t|ckb|ھەمو شوێن}}"
"and"," used to connect two similar words` phrases` et cetera"," Kurdish"," Northern Kurdish"," {{t+|kmr|û}"
"and"," used to connect two similar words` phrases` et cetera"," Kurdish"," Northern Kurdish"," {{t+|kmr|herwiha}"
"and"," used to connect two similar words` phrases` et cetera"," Kurdish"," Northern Kurdish"," {{t+|kmr|hem}}"
"and"," used at the end of a list to indicate the last item"," Kurdish"," Northern Kurdish"," {{t+|kmr|û}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Kurdish"," Northern Kurdish"," {{t+|kmr|û}}"
"all_determiner"," every individual of the given class"," Kurdish"," Northern Kurdish"," {{t+|kmr|hemî}"
"all_determiner"," every individual of the given class"," Kurdish"," Northern Kurdish"," {{t+|kmr|giş}"
"all_determiner"," every individual of the given class"," Kurdish"," Northern Kurdish"," {{t+|kmr|tev}"
"all_determiner"," every individual of the given class"," Kurdish"," Northern Kurdish"," {{t+|kmr|hemû}"
"all_determiner"," every individual of the given class"," Kurdish"," Northern Kurdish"," {{t+|kmr|gişt}}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|gî}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|gîh}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|her}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|pêkve}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|tev}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|têkde}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|xirr}"
"all_determiner"," "," Kurdish"," Northern Kurdish"," {{t+check|kmr|xirrek}}{{trans-mid}}"
"each_determiner"," every"," Kurdish"," Northern Kurdish"," {{t+|kmr|her}"
"each_determiner"," every"," Kurdish"," Northern Kurdish"," {{t|kmr|heryek}"
"each_determiner"," every"," Kurdish"," Northern Kurdish"," {{t+|kmr|hertişt}}"
"and"," used to connect two similar words` phrases` et cetera"," Kyrgyz",""," {{t+|ky|жана}}"
"also"," in addition; besides; as well; further; too"," Kyrgyz",""," {{t+|ky|да|sc=Cyrl}"
"also"," in addition; besides; as well; further; too"," Kyrgyz",""," {{t+|ky|дагы|sc=Cyrl}}"
"every"," all of a countable group"," Kyrgyz",""," {{t+|ky|ар}}"
"all_determiner"," every individual of the given class"," Ladin",""," {{t|lld|dut}}"
"and"," used to connect two similar words` phrases` et cetera"," Ladino",""," {{t|lad|i}"
"and"," used to connect two similar words` phrases` et cetera"," Ladino",""," {{t|lad|אי}}"
"all_determiner"," every individual of the given class"," Ladino",""," {{t|lad|טודו|m}}"
"everyone"," every person"," Ladino",""," {{t|lad|טודוס|tr=tudos|m-p}"
"everyone"," every person"," Ladino",""," {{t|lad|טודו אל מונדו|tr=tudo el mundo|m}}"
"and"," used to connect two similar words` phrases` et cetera"," Lakota",""," {{t|lkt|na}}"
"and"," used to connect two similar words` phrases` et cetera"," Lao",""," {{t|lo|ແລະ}}"
"also"," in addition; besides; as well; further; too"," Lao",""," {{t|lo|ດ້ວຍ}"
"also"," in addition; besides; as well; further; too"," Lao",""," {{t|lo|ກໍ}"
"also"," in addition; besides; as well; further; too"," Lao",""," {{t|lo|ດອມ}}{{trans-mid}}"
"every"," all of a countable group"," Lao",""," {{t|lo|ທຸກ}"
"every"," all of a countable group"," Lao",""," {{t|lo|ທຸກໆ}}{{trans-mid}}"
"each_determiner"," every"," Lao",""," {{t|lo|ທຸກ}"
"each_determiner"," every"," Lao",""," {{t|lo|ແຕ່ລະ}}{{trans-mid}}"
"each_adverb"," apiece"," Lao",""," {{t|lo|ແຕ່ລະ}}{{trans-mid}}"
"and"," used to connect two similar words` phrases` et cetera"," Latgalian",""," {{t|ltg|i}}"
"also"," in addition; besides; as well; further; too"," Latgalian",""," {{t|ltg|taipat}"
"also"," in addition; besides; as well; further; too"," Latgalian",""," {{t|ltg|taipoš}}"
"and"," used to connect two similar words` phrases` et cetera"," Latin",""," {{t+|la|et}"
"and"," used to connect two similar words` phrases` et cetera"," Latin",""," {{t+|la|ac}"
"and"," used to connect two similar words` phrases` et cetera"," Latin",""," {{t+|la|atque}"
"and"," used to connect two similar words` phrases` et cetera"," Latin",""," {{t+|la|-que}}"
"and"," used at the end of a list to indicate the last item"," Latin",""," {{t+|la|et}"
"and"," used at the end of a list to indicate the last item"," Latin",""," {{t+|la|ac}"
"and"," used at the end of a list to indicate the last item"," Latin",""," {{t+|la|atque}}"
"and"," used to show causation"," Latin",""," {{t+|la|ut}}"
"also"," in addition; besides; as well; further; too"," Latin",""," {{t+|la|quoque}"
"also"," in addition; besides; as well; further; too"," Latin",""," {{t+|la|etiam}}"
"every"," all of a countable group"," Latin",""," {{t+|la|quisque}"
"every"," all of a countable group"," Latin",""," {{t+|la|omnis}}"
"all_determiner"," every individual of the given class"," Latin",""," {{t+|la|omnes|m|f}"
"all_determiner"," every individual of the given class"," Latin",""," {{t+|la|omnia|n}}"
"each_determiner"," every"," Latin",""," {{t|la|uterque}"
"each_determiner"," every"," Latin",""," {{t+|la|unusquisque}"
"each_determiner"," every"," Latin",""," {{t+|la|quisque}}"
"any_pronoun"," Any things or persons"," Latin",""," {{t+|la|ūllus}}{{trans-mid}}"
"everybody"," all people"," Latin",""," {{t+|la|omnes}}"
"everyone"," every person"," Latin",""," {{t+|la|omnes}}"
"whoever"," any person or persons that"," Latin",""," {{t+|la|quisquis}"
"whoever"," any person or persons that"," Latin",""," {{t|la|quicumque}}"
"everything"," all the things"," Latin",""," {{t+|la|omnia|n-p}"
"everything"," all the things"," Latin",""," {{t|la|nihil non}"
"everything"," all the things"," Latin",""," {{t|la|omnes res|f}"
"everything"," all the things"," Latin",""," {{t|la|totae res}"
"everything"," all the things"," Latin",""," {{t|la|quidvis}"
"everything"," all the things"," Latin",""," {{t|la|quidquid|n}"
"everything"," all the things"," Latin",""," {{t+|la|tota|n}}"
"anything_pronoun"," =any thing of any kind"," Latin",""," {{t|la|quidquam}}"
"anything_noun"," =someone or something"," Latin",""," {{t+|la|quisquam}}"
"whatever_determiner"," for any ... that"," Latin",""," {{t+|la|quisquis}"
"whatever_determiner"," for any ... that"," Latin",""," {{t|la|quidquid}}"
"wherever_conjunction"," in any place` anywhere"," Latin",""," {{t|la|ubicumque}"
"wherever_conjunction"," in any place` anywhere"," Latin",""," {{t|la|ubiubi}}"
"anywhere"," in or at any location"," Latin",""," {{t|la|uspiam}"
"anywhere"," in or at any location"," Latin",""," {{t+|la|usquam}}"
"everywhere"," at all places"," Latin",""," {{t+|la|ubīque}}"
"and"," used to connect two similar words` phrases` et cetera"," Latvian",""," {{t|lv|un}"
"and"," used to connect two similar words` phrases` et cetera"," Latvian",""," {{t|lv|ir}}"
"also"," in addition; besides; as well; further; too"," Latvian",""," {{t|lv|arī}"
"also"," in addition; besides; as well; further; too"," Latvian",""," {{t|lv|tāpat}}"
"every"," all of a countable group"," Latvian",""," {{t+|lv|katrs}}"
"each_determiner"," every"," Latvian",""," {{t+|lv|katrs|m}"
"each_determiner"," every"," Latvian",""," {{t|lv|katra|f}}"
"everybody"," all people"," Latvian",""," {{t+|lv|visi}}"
"and"," used to connect two similar words` phrases` et cetera"," Laz",""," {{t|lzz|do}}"
"each_determiner"," every"," Lezgi",""," {{t|lez|гьар}}"
"also"," in addition; besides; as well; further; too"," Limburgish",""," {{t+|li|ouch}"
"also"," in addition; besides; as well; further; too"," Limburgish",""," {{t|li|ooch}} {{qualifier|Western Limburgish}"
"also"," in addition; besides; as well; further; too"," Limburgish",""," {{t|li|ouk}} {{qualifier|Venlo dialect}}"
"also"," in addition; besides; as well; further; too"," Lingala",""," {{t|ln|lokóla}"
"also"," in addition; besides; as well; further; too"," Lingala",""," {{t|ln|mpé}}"
"all_determiner"," every individual of the given class"," Lingala",""," {{t|ln|nyɔ́nsɔ}}"
"and"," used to connect two similar words` phrases` et cetera"," Lithuanian",""," {{t+|lt|ir}}"
"also"," in addition; besides; as well; further; too"," Lithuanian",""," {{t+|lt|taip pat}}"
"every"," all of a countable group"," Lithuanian",""," {{t|lt|kiekvienas}}"
"all_determiner"," every individual of the given class"," Lithuanian",""," {{t+|lt|visas}}"
"each_determiner"," every"," Lithuanian",""," {{t|lt|kiekvienas|m}"
"each_determiner"," every"," Lithuanian",""," {{t|lt|kiekviena|f}}"
"everybody"," all people"," Lithuanian",""," {{t+|lt|visi}}"
"all_determiner"," every individual of the given class"," Livonian",""," {{t|liv|amā}}"
"and"," used to connect two similar words` phrases` et cetera"," Lombard",""," {{t+|lmo|e}}"
"also"," in addition; besides; as well; further; too"," Lombard",""," {{t+|lmo|anca}}"
"all_determiner"," every individual of the given class"," Lombard",""," {{t+|lmo|tutt}}"
"and"," used at the end of a list to indicate the last item"," Low German",""," {{t+|nds|un}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Low German",""," {{t+|nds|un}}"
"and"," used to connect two similar words` phrases` et cetera"," Low German"," Dutch Low Saxon"," {{t|nds-nl|on}}"
"and"," used to connect two similar words` phrases` et cetera"," Low German"," German Low German"," {{t|nds-de|on}"
"and"," used to connect two similar words` phrases` et cetera"," Low German"," German Low German"," {{t+|nds-de|un}}"
"also"," in addition; besides; as well; further; too"," Low German"," German Low German"," {{t+|nds-de|ok}} {{qualifier|Northern Germany|South Westphalia}"
"also"," in addition; besides; as well; further; too"," Low German"," German Low German"," {{t+|nds-de|auk}} {{qualifier|Münsterland}}"
"any_pronoun"," Any things or persons"," Low German"," German Low German"," {{t|nds-de|jeed}"
"any_pronoun"," Any things or persons"," Low German"," German Low German"," {{t|nds-de|elk}}"
"and"," used to connect two similar words` phrases` et cetera"," Lü",""," {{t|khb|᧞}"
"and"," used to connect two similar words` phrases` et cetera"," Lü",""," {{t|khb|ᩓ}"
"and"," used to connect two similar words` phrases` et cetera"," Lü",""," {{t|khb|ᦂᧇ}}"
"and"," used to connect two similar words` phrases` et cetera"," Luganda",""," {{t|lg|ne}} {{qualifier|positive ""and""}
and, used to connect two similar words` phrases` et cetera, Luganda, , {{t|lg|na}} {{qualifier|negative ""and""}
and, used to connect two similar words` phrases` et cetera, Luganda, , {{t|lg|ate}} {{qualifier|literally ""also""}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Luganda",""," {{t|lg|era}}"
"and"," used to connect two similar words` phrases` et cetera"," Lule Sami",""," {{t|smj|ja}}"
"and"," used to connect two similar words` phrases` et cetera"," Luxembourgish",""," {{t+|lb|an}}"
"and"," used to connect two similar words` phrases` et cetera"," Macedonian",""," {{t+|mk|и}}{{trans-mid}}"
"also"," in addition; besides; as well; further; too"," Macedonian",""," {{t|mk|и́сто та́ка}"
"also"," in addition; besides; as well; further; too"," Macedonian",""," {{t|mk|ка́ко и}}"
"every"," all of a countable group"," Macedonian",""," {{t|mk|секој}}"
"all_determiner"," every individual of the given class"," Macedonian",""," {{t|mk|сите|p}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Macedonian",""," {{t|mk|цел}}"
"all_adverb"," "," Macedonian",""," {{t-check|mk|сосем}"
"all_adverb"," "," Macedonian",""," {{t-check|mk|сосема}}"
"each_determiner"," every"," Macedonian",""," {{t|mk|секој}}"
"everybody"," all people"," Macedonian",""," {{t|mk|сите|m-p}"
"everybody"," all people"," Macedonian",""," {{t|mk|секој}}"
"everyone"," every person"," Macedonian",""," {{t|mk|си́те|p}"
"everyone"," every person"," Macedonian",""," {{t|mk|се́кој}}"
"everything"," all the things"," Macedonian",""," {{t|mk|се}}"
"anything_pronoun"," =any thing of any kind"," Macedonian",""," {{t|mk|било што}"
"anything_pronoun"," =any thing of any kind"," Macedonian",""," {{t|mk|што било}"
"anything_pronoun"," =any thing of any kind"," Macedonian",""," {{t|mk|што и да било}}"
"everywhere"," at all places"," Macedonian",""," {{t|mk|насекаде}}"
"and"," used to connect two similar words` phrases` et cetera"," Malagasy",""," {{t+|mg|sy}"
"and"," used to connect two similar words` phrases` et cetera"," Malagasy",""," {{t+|mg|ary}}"
"whatever_determiner"," for any ... that"," Malagasy",""," {{t|mg|aleo ho any}}"
"and"," used at the end of a list to indicate the last item"," Malay",""," {{t+|ms|dan}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Malay",""," {{t+|ms|dan}}"
"also"," in addition; besides; as well; further; too"," Malay",""," {{t|ms|juga}}"
"every"," all of a countable group"," Malay",""," {{t+|ms|setiap}"
"every"," all of a countable group"," Malay",""," {{t|ms|tiap-tiap}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Malay",""," {{t|ms|sepanjang}"
"all_determiner"," throughout the whole of (a stated period of time)"," Malay",""," {{t|ms|se- -an}}"
"all_adverb"," intensifier"," Malay",""," {{t+|ms|semua}}"
"everything"," all the things"," Malay",""," {{t|ms|semuanya}}"
"wherever_conjunction"," in any place` anywhere"," Malay",""," {{t|ms|di mana jua}"
"wherever_conjunction"," in any place` anywhere"," Malay",""," {{t|ms|di mana sahaja}"
"wherever_conjunction"," in any place` anywhere"," Malay",""," {{t|ms|ke mana jua}"
"wherever_conjunction"," in any place` anywhere"," Malay",""," {{t|ms|ke mana sahaja}}"
"wherever_conjunction"," in all places` everywhere"," Malay",""," {{t|ms|di mana-mana}}"
"wherever_conjunction"," "," Malay",""," {{t-check|ms|di mana-mana}"
"wherever_conjunction"," "," Malay",""," {{t-check|ms|ke mana-mana}}"
"everywhere"," at all places"," Malay",""," {{t+|ms|mana-mana}}"
"and"," used to connect two similar words` phrases` et cetera"," Malay"," Jawi"," {{t|ms|دان}}"
"all_determiner"," every individual of the given class"," Malay"," Jawi"," {{t|ms|سموا|sc=Arab}}"
"anything_pronoun"," =any thing of any kind"," Malay"," Jawi"," {{t|ms|اڤ٢}}"
"anywhere"," in or at any location"," Malay"," Jawi"," {{t|ms|مان٢}}"
"and"," used to connect two similar words` phrases` et cetera"," Malay"," Rumi"," {{t+|ms|dan}}"
"all_determiner"," every individual of the given class"," Malay"," Rumi"," {{t+|ms|semua}}"
"each_determiner"," every"," Malay"," Rumi"," {{t+|ms|setiap}}"
"anything_pronoun"," =any thing of any kind"," Malay"," Rumi"," {{t|ms|apa-apa}}"
"anywhere"," in or at any location"," Malay"," Rumi"," {{t+|ms|mana-mana}}"
"and"," used to connect two similar words` phrases` et cetera"," Malayalam",""," {{t+|ml|ഉം}"
"and"," used to connect two similar words` phrases` et cetera"," Malayalam",""," {{t+|ml|കൂടാതെ}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Malayalam",""," {{t+|ml|കൂടാതെ}}"
"every"," all of a countable group"," Malayalam",""," {{t+|ml|ഓരോ}}"
"all_determiner"," every individual of the given class"," Malayalam",""," {{t+|ml|എല്ലാം}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Malayalam",""," {{t+|ml|എല്ലാം}"
"all_determiner"," throughout the whole of (a stated period of time)"," Malayalam",""," {{t+|ml|എപ്പോഴും}}"
"each_determiner"," every"," Malayalam",""," {{t+|ml|ഓരോ}}"
"everywhere"," at all places"," Malayalam",""," {{t|ml|എല്ലായിടത്തും}}"
"and"," used to connect two similar words` phrases` et cetera"," Maltese",""," {{t+|mt|u}}"
"and"," used at the end of a list to indicate the last item"," Maltese",""," {{t+|mt|u}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Maltese",""," {{t+|mt|u}}"
"also"," in addition; besides; as well; further; too"," Maltese",""," {{t|mt|ukoll}"
"also"," in addition; besides; as well; further; too"," Maltese",""," {{t|mt|anke}}"
"every"," all of a countable group"," Maltese",""," {{t|mt|kull}}"
"all_determiner"," every individual of the given class"," Maltese",""," {{t|mt|kull}"
"all_determiner"," every individual of the given class"," Maltese",""," {{t|mt|kollha}"
"all_determiner"," every individual of the given class"," Maltese",""," {{t|mt|kollox}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Maltese",""," {{t|mt|kollox}}"
"everyone"," every person"," Maltese",""," {{t|mt|kulħadd}}"
"whoever"," any person or persons that"," Maltese",""," {{t|mt|kulmin}}"
"everything"," all the things"," Maltese",""," {{t|mt|kollox}}"
"anything_noun"," =someone or something"," Maltese",""," {{t|mt|kwalunkwe ħaġa}}{{trans-mid}}"
"everywhere"," at all places"," Maltese",""," {{t|mt|kullimkien}}"
"and"," used to connect two similar words` phrases` et cetera"," Manchu",""," {{t|mnc|ᡪᠠᡳ}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Manchu",""," {{t|mnc|ᡶᡳ}}"
"and"," used to connect two similar words` phrases` et cetera"," Manx",""," {{t|gv|as}}"
"anything_pronoun"," =any thing of any kind"," Manx",""," {{t|gv|nhee erbee}}"
"all_determiner"," every individual of the given class"," Maore Comorian",""," {{t|swb|otsi|alt=-otsi}}"
"and"," used to connect two similar words` phrases` et cetera"," Maori",""," {{t|mi|me}"
"and"," used to connect two similar words` phrases` et cetera"," Maori",""," {{t|mi|a}"
"and"," used to connect two similar words` phrases` et cetera"," Maori",""," {{t|mi|me}} {{qualifier|of objects}}"
"and"," used at the end of a list to indicate the last item"," Maori",""," {{t|mi|me}} {{qualifier|of objects}}{{trans-mid}}"
"and"," "," Maori",""," {{t-check|mi|me}"
"and"," "," Maori",""," {{t-check|mi|a}"
"and"," "," Maori",""," {{t-check|mi|hoki}"
"and"," "," Maori",""," {{t+check|mi|mā}"
"and"," "," Maori",""," {{t-check|mi|ahā}"
"and"," "," Maori",""," {{t-check|mi|rāua ko}"
"and"," "," Maori",""," {{t-check|mi|rātua ko}}{{trans-mid}}"
"also"," in addition; besides; as well; further; too"," Maori",""," {{t|mi|hoki}}"
"everybody"," all people"," Maori",""," {{t|mi|ngā tāngata katoa}"
"everybody"," all people"," Maori",""," {{t|mi|te katoa}"
"everybody"," all people"," Maori",""," {{t|mi|te katoa}}"
"everyone"," every person"," Maori",""," {{t|mi|ngā tāngata katoa}"
"everyone"," every person"," Maori",""," {{t|mi|te katoa}"
"everyone"," every person"," Maori",""," {{t|mi|ia tangata}}"
"whatever_determiner"," for any ... that"," Maori",""," {{t|mi|ahatanga}}"
"everywhere"," at all places"," Maori",""," {{t|mi|i hea` i hea}"
"everywhere"," at all places"," Maori",""," {{t|mi|i whea` i whea}"
"everywhere"," at all places"," Maori",""," {{t|mi|ki hea` ki hea}"
"everywhere"," at all places"," Maori",""," {{t|mi|ki whea` ki whea}}"
"and"," used to connect two similar words` phrases` et cetera"," Maranao",""," {{t|mrw|ago}}"
"all_adverb"," intensifier"," Maranao",""," {{t|mrw|lempes}}"
"and"," used to connect two similar words` phrases` et cetera"," Marathi",""," {{t+|mr|आणि}"
"and"," used to connect two similar words` phrases` et cetera"," Marathi",""," {{t+|mr|व}}"
"and"," used to connect two similar words` phrases` et cetera"," Mbyá Guaraní",""," {{t|gun|ha'e}}"
"everything"," all the things"," Mbyá Guaraní",""," {{t|gun|opa mba'e}}"
"also"," in addition; besides; as well; further; too"," Meänkieli",""," {{t|fit|kansa}}"
"and"," used to connect two similar words` phrases` et cetera"," Middle English",""," {{t|enm|and}}"
"and"," used at the end of a list to indicate the last item"," Middle English",""," {{t|enm|and}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Middle English",""," {{t|enm|and}}"
"each_determiner"," every"," Middle English",""," {{t|enm|ech}}"
"all_determiner"," every individual of the given class"," Middle Korean",""," {{t|okm|모ᄃᆞᆫ〮 }}"
"and"," used to connect two similar words` phrases` et cetera"," Middle Persian",""," {{t|pal|𐭥|ts=ud}"
"and"," used to connect two similar words` phrases` et cetera"," Middle Persian",""," {{t|pal|𐭠𐭥|ts=u}"
"and"," used to connect two similar words` phrases` et cetera"," Middle Persian",""," {{t|pal|𐭠𐭥𐭣|ts=ud}}"
"and"," used to connect two similar words` phrases` et cetera"," Mingrelian",""," {{t|xmf|დო}}"
"and"," used to connect two similar words` phrases` et cetera"," Mirandese",""," {{t|mwl|i}}"
"and"," used at the end of a list to indicate the last item"," Mirandese",""," {{t|mwl|i}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Mirandese",""," {{t|mwl|i}}"
"anywhere"," in or at any location"," Mirandese",""," {{t|mwl|adondequiera}}"
"also"," in addition; besides; as well; further; too"," Miskito",""," {{t|miq|sin}}"
"and"," used to connect two similar words` phrases` et cetera"," Mòcheno",""," {{t|mhn|ont}}"
"everything"," all the things"," Mòcheno",""," {{t|mhn|òlls}}"
"and"," used to connect two similar words` phrases` et cetera"," Mongolian",""," {{t+|mn|ба}}"
"and"," used at the end of a list to indicate the last item"," Mongolian",""," {{t+|mn|ба}}"
"also"," in addition; besides; as well; further; too"," Mongolian",""," {{t+|mn|мөн|sc=Cyrl}}"
"every"," all of a countable group"," Mongolian",""," {{t+|mn|бүр}}"
"also"," in addition; besides; as well; further; too"," Moore",""," {{t|mos|me}}"
"and"," used to connect two similar words` phrases` et cetera"," Moroccan Amazigh",""," {{t|zgh|ⴻⴷ}}"
"every"," all of a countable group"," Mwali Comorian",""," {{t|wlc|kila}}"
"and"," used to connect two similar words` phrases` et cetera"," Nafaanra",""," {{t|nfr|a}}"
"everything"," all the things"," Nahuatl",""," {{t|nah|nochi}}"
"and"," used to connect two similar words` phrases` et cetera"," Nahuatl"," Central"," {{t|nhn|huan}}"
"and"," used to connect two similar words` phrases` et cetera"," Nahuatl"," Classical"," {{t|nci|ihuan}}"
"and"," used to connect two similar words` phrases` et cetera"," Nauruan",""," {{t+|na|me}}"
"and"," used to connect two similar words` phrases` et cetera"," Navajo",""," {{t|nv|dóó}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Navajo",""," {{t|nv|áádóó}}"
"also"," in addition; besides; as well; further; too"," Navajo",""," {{t|nv|ałdóʼ}"
"also"," in addition; besides; as well; further; too"," Navajo",""," {{t|nv|dóʼ}}"
"all_determiner"," every individual of the given class"," Navajo",""," {{t|nv|tʼáá ałtso}"
"all_determiner"," every individual of the given class"," Navajo",""," {{t|nv|tʼáá átʼé}}"
"everybody"," all people"," Navajo",""," {{t|nv|tʼáá ájíłtso}}"
"everyone"," every person"," Navajo",""," {{t|nv|tʼáá ájíłtso}}"
"everything"," all the things"," Navajo",""," {{t|nv|tʼáá ałtsoní}}"
"everywhere"," at all places"," Navajo",""," {{t|nv|tʼáá ałtsogóó}}"
"also"," in addition; besides; as well; further; too"," Neapolitan",""," {{t|nap|pure}}"
"and"," used to connect two similar words` phrases` et cetera"," Nepali",""," {{t+|ne|र}}"
"also"," in addition; besides; as well; further; too"," Nepali",""," {{t+|ne|पनि}}"
"and"," used to connect two similar words` phrases` et cetera"," Newar",""," {{t|new|व}}"
"also"," in addition; besides; as well; further; too"," Ngazidja Comorian",""," {{t|zdj|na}}"
"all_determiner"," every individual of the given class"," Ngazidja Comorian",""," {{t|zdj|pia}}"
"everyone"," every person"," Ngazidja Comorian",""," {{t|zdj|heni mndru}}"
"anything_pronoun"," =any thing of any kind"," Ngazidja Comorian",""," {{qualifier|in negative sentences}} {{t|zdj|ndrongoo}}"
"wherever_conjunction"," in any place` anywhere"," Ngazidja Comorian",""," {{t|zdj|haina mahala}}"
"anywhere"," in or at any location"," Ngazidja Comorian",""," {{t|zdj|pvahanu}} {{qualifier|in a negative sentence}}"
"and"," used to connect two similar words` phrases` et cetera"," Nogai",""," {{t|nog|эм}}"
"and"," used at the end of a list to indicate the last item"," Nogai",""," {{t|nog|эм}}"
"and"," used to connect two similar words` phrases` et cetera"," Norman",""," {{t|nrf|et}}"
"and"," used at the end of a list to indicate the last item"," Norman",""," {{t|nrf|et}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Norman",""," {{t|nrf|et}}"
"also"," in addition; besides; as well; further; too"," Norman",""," {{t|nrf|étout}} {{qualifier|Jersey|Guernsey}"
"also"," in addition; besides; as well; further; too"," Norman",""," {{t|nrf|itou}} {{qualifier|continental Normandy}}"
"each_determiner"," every"," Norman",""," {{t|nrf|châque}}"
"whatever_determiner"," for any ... that"," Norman",""," {{t|nrf|n'împorte tchi|alt=n'împorte tchi qu'}}"
"also"," in addition; besides; as well; further; too"," North Frisian",""," {{t|frr|uk}} {{qualifier|Föhr}}"
"and"," used to connect two similar words` phrases` et cetera"," Northern Sami",""," {{t|se|ja}}"
